[2026-03-20 09:48:39] STOP  | agent_id=unknown | type=unknown
[2026-03-20 09:49:20] START | agent_id=unknown | type=unknown
[2026-03-20 09:49:25] START | agent_id=unknown | type=unknown
[2026-03-20 09:50:24] STOP  | agent_id=unknown | type=unknown
[2026-03-20 09:50:43] STOP  | agent_id=unknown | type=unknown
[2026-03-20 09:51:19] START | agent_id=unknown | type=unknown
[2026-03-20 09:52:22] STOP  | agent_id=unknown | type=unknown
[2026-03-20 09:58:22] START | agent_id=unknown | type=unknown
[2026-03-20 09:58:42] START | agent_id=unknown | type=unknown
[2026-03-20 09:58:51] START | agent_id=unknown | type=unknown
[2026-03-20 10:00:21] STOP  | agent_id=unknown | type=unknown
[2026-03-20 10:01:07] STOP  | agent_id=unknown | type=unknown
[2026-03-20 10:04:24] STOP  | agent_id=unknown | type=unknown
[2026-03-20 10:16:14] START | agent_id=unknown | type=unknown
[2026-03-20 10:17:36] STOP  | agent_id=unknown | type=unknown
[2026-03-20 10:42:54] STOP  | agent_id=unknown | type=unknown
[2026-03-20 11:37:33] START | agent_id=unknown | type=unknown
[2026-03-20 11:37:37] START | agent_id=unknown | type=unknown
[2026-03-20 11:39:17] STOP  | agent_id=unknown | type=unknown
[2026-03-20 11:40:26] STOP  | agent_id=unknown | type=unknown
[2026-03-20 11:41:09] START | agent_id=unknown | type=unknown
[2026-03-20 11:46:10] STOP  | agent_id=unknown | type=unknown
[2026-03-20 13:03:58] STOP  | agent_id=unknown | type=unknown
